,Date,Tweet
24,2022-09-16 09:11:26+00:00,"ทหาร ไม่ต้องคิดมาปฏิวัติ ปฏิรูปใครเลย องค์กรมึงเน่าหนอนที่สุดละ องค์ที่ควรถูกปฏิรูปอันดับ1คือทหาร 
#ทหารหื่น"
25,2022-09-16 07:55:25+00:00,ปลดทหารหื่นกามออกจากราชการแล้ว #คุกคามทางเพศ https://t.co/0ZRnbjAgMI
26,2022-09-16 07:04:21+00:00,"""กองทัพบก"" มีคำสั่งปลด ""สิบเอกหื่น"" พ้นราชการ ชี้ผิดวินัยทหาร ประพฤติชั่วร้ายแรง
อ่านต่อที่&gt;&gt;https://t.co/fpj85C3OaY
#siamrath #สยามรัฐ #siamrathonline #สยามรัฐออนไลน์ #ข่าววันนี้ #ข่าวการเมือง #การเมือง #กองทัพบก #ทหารหื่น"
27,2022-09-16 06:29:40+00:00,"ให้ออกแล้ว!!! พ.อ.หญิง ศิริจันทร์ งาทอง รองโฆษกทบ. เผยสั่งปลดส.อ.กิตติศักดิ์ ดวงประสาท ที่ถูกกล่าวหาล่วงละเมิดทางเพศทหารและจนท. หลังกก.สรุปผลมีมูล
.
โดยก่อนเป็นข่าวผู้เสียหายระบุว่าร้องเรียนหลายครั้ง แต่ถูกอ้างความเป็นเด็กนายเป่าคดีให้ 
#ทหารหื่น 
#ปฏิรูปกองทัพ https://t.co/QXPhOkcvL7"
28,2022-09-16 05:39:44+00:00,'เหยื่อทหารหื่น' ร้อง ผบ.ทบ. โดนต้นสังกัดซ้ำเติม ตั้ง กก. สอบทำเสื่อมเสีย https://t.co/vLNwQawYG6
29,2022-09-16 05:24:45+00:00,"🔴เหยื่อทหารหื่นบุกกองทัพบก ร้องขอความเป็นธรรม ผบ.ทบ. เหตุถูกคุกคามทางเพศ ซ้ำถูกตั้งคณะกรรมการสอบปล่อยภาพว่อนเน็ต ทำหน่วยเสื่อมเสีย เตรียมหาช่องร้องเรียน รมว.กลาโหม

อ่านต่อที่ https://t.co/Ft3lPTrbJ5

#เหยื่อทหารหื่น #กันจองพลัง #กองทัพบก #TheRoom44 https://t.co/bYO0Hsuduu"
30,2022-09-16 05:21:58+00:00,"อ่านรายละเอียด : https://t.co/kmSnH9wfJE

#คดีพยายามข่มขืน #สิบเอกหื่นกาม #กันจอมพลัง #สิบเอกปล้ำธุรการสาว #พยายามข่มขืน

เหยื่อทหารหื่น ร้องขอความเป็นธรรม ผบ.ทบ.  ถูกคุกคามทางเพศ ซ้ำถูกตั้งคณะกรรมการสอบปล่อยภาพว่อนเน็ต ทำหน่วยเสื่อมเสีย เตรียมหาช่องร้องเรียน รมว.กลาโหม https://t.co/0cHMx0ThkX"
31,2022-09-16 02:56:17+00:00,@MatichonOnline หน้าที่กลาโหมคืออะไร ไปจัดการเรื่องทหารยิงกันเอง ทหารหื่นนู่นไป
32,2022-09-16 02:55:10+00:00,"🔴 คำศัพท์ในข่าวคนมีสีช่วงนี้ครับ!! 

จ่าคลั่ง / ทหารหื่น/ สิบเอกบ้ากาม/ ส.ต.ท.หญิงโหด / ทหารรับใช้ /"
33,2022-09-16 01:19:18+00:00,หนังโป๊ญี่ปุ่นทหารหื่นจับสาวนักโทษมาเย็ดริมหน้าผา https://t.co/VHrtIqJb27
