,Date,Tweet
28,2022-08-11 11:08:11+00:00,@kamphaka เขาบ่นว่าเปลี่ยนแบบไปมา เพราะหวังให้อยู่ในอำนาจ ไม่ได้อิงจากประชาชน  ไม่ได้เกี่ยวกับเพื่อไทย เขาด่าป้อม นางแบกจะtake personal แล้วมาวิจารทำไม  ทีข่าวอื่นกดเข้าอ่านแล้วบ่นเขียนไม่รู้เรื่อง อันนี้ไม่กด อ่านหัวข่าวแล้ววิจารเฉย https://t.co/utSEerZhDj
29,2022-08-01 14:25:06+00:00,@vnomenon @Classroom41 ด่าป้อมทำไม? https://t.co/HcdvpJnIrK
30,2022-07-21 12:40:06+00:00,@MFPThailand เรื่องเตี้ยเขาด่าป้อม
31,2022-07-06 13:19:14+00:00,@tanawatofficial ด่าป้อมหรออ #showjim
32,2022-07-06 13:18:55+00:00,เขาด่าป้อม #showjim https://t.co/92nsxpsVdQ
33,2022-07-06 02:43:15+00:00,ด่าป้อมแรงมาก https://t.co/Ruq1gUpMrQ
34,2022-07-06 00:15:58+00:00,ประยุทธด่าป้อมว่าอ้วนเหรอ 😭
35,2022-07-05 09:29:57+00:00,@tanawatofficial ด่าป้อมทำมายย
36,2022-07-02 07:10:07+00:00,จริงๆที่เราด่ารัฐบาล ด่าตู่ ด่าป้อม ด่าหนู หลายคนด่าแบบมีแต่คำหยาบคายไม่ใช่การวิจารณ์​ด้วยซ้ำนะ ด่าแบบหยาบล้วนๆ แช่งให้ตายแรงๆก็มี ซึ่งตรงนี้ถ้าวันหนึ่งมันฟ้องเราขึ้นมา เรายังจะเข้าข้างและเห็นด้วยว่าใช้คำหยาบคาย = ฟ้องหมิ่นมั้ยนะ
37,2022-06-19 06:56:01+00:00,@qFqPWnkit8jkmh2 แซะทุกเดี่ยวครับ พี่มารค์ก็ด่าเจ๊ปูก็ด่าด่าตู่ด่าป้อมทำเป็นรับกันไม่ได้ โถ่...เฮียแกก็พูดถูกแหละ 555
38,2022-06-14 09:08:42+00:00,คนที่โควทไปด่าอย่าให้รู้นะว่าด่าป้อมเรื่องนาฬิกาเพื่อน 🤭 https://t.co/jScK8EiGwi
39,2022-06-05 00:13:15+00:00,@samhuahin @bluebluejack ด่าตู่ด่าป้อมทำไม เดี๋ยวน้องร้องไห้นะ สมองยิ่งน้อยๆอยู่
40,2022-05-27 04:01:54+00:00,"ดังนั้นการบอกประยุทธ์ ไม่เกี่ยวกะพรรคพลังประชารัฐเลย มันก็เหมือนบอกทักษิณไม่เกี่ยวกะเพื่อไทยนั่นแหละ ไม่มีใครเชื่อหรอก
และประยุทธ์ก็พูดเองว่า 3.ป เป็นเนื้อเดียวกันไม่มีแตกแยก รักกันตลอดไป ตายตายด้วยกัน
การจะยกตู่แต่ด่าป้อมของสลิ่ม มันดูตลกในสายตาเรา เหมือนพวกมองการเมืองไม่เป็นเลย"
41,2022-05-26 11:36:19+00:00,@baxxxxxm บ้านนี่ก็เสื้อแดงค่ะ(แม่นะคะ พ่อคือไม่สนใจไรเลย) ด่าตู่ด่าป้อมด้วยกันทุกวัน แล้วแม่เรารักทักษิณ555555
42,2022-05-26 11:18:12+00:00,น่าสนใจ movement นี้ ด่าชัยวุฒิ ด่าป้อม ชมตู่ 📌📌📌 https://t.co/GdQIKayLZj
43,2022-05-19 06:49:22+00:00,ละพอเอาตัวแปลกๆ ไปออฟ ไปโรม ก็โดนด่าอีก คือทำไมจะเล่นไม่ได้??? ก็ไม่เห็นแพ้นะ แต้ม MVP ก็สูงกว่าคนที่ด่า ป้อมก็ดัน สกอก็มี เกมก็ชนะ เดือดร้อนอะไรกับการเล่นคนอื่นนักหนา ไม่เข้าใจ คือสรุปนี่คนมาเล่นเกม หรือมาให้เกมเล่น??? แล้วแบบ บางคนก็คือ เปิดไมค์ด่าพ่อล่อแม่ พิมพ์ด่าทั้งเกมส์
44,2022-05-13 06:58:03+00:00,"ว่ากันตรงๆ ใครจะด่าแม้ว ด่าเจ้า หรือด่าประยุทธ์ ด่าป้อม ด่าชัชชาติ เราฟังผ่านๆ ไม่เอาไปอินตาม ก็ไม่มีปัญหาอะไรนะ

ปัญหาคือ คนไทยมันอินเกิน ทั้งๆ ที่อินแล้วก็ไม่ได้มีปัญญาจะเปลี่ยนแปลงอะไรได้หรอก นอกจากรอเลือกตั้ง

แต่ที่มันแย่มากคือบางคนอินเกินแล้วก็ไปชวนทหารถือปืนลากรถถังนี่แหละ"
45,2022-05-06 18:43:47+00:00,@KhaosodOnline อ้าววววววววว ถ้าเป็นไปตามข่าวลือมึงด่าป้อมว่าแย่กว่ามึงหรอตู่555555555 เพราะข่าวลือป้อมขึ้นมาแทนมึงนะถ้ามึงพัง
46,2022-05-06 18:43:31+00:00,อ้าววววววววว ถ้าเป็นไปตามข่าวลือมึงด่าป้อมว่าแย่กว่ามึงหรอตู่555555555 เพราะข่าวลือป้อมขึ้นมาแทนมึงนะถ้ามึงพัง https://t.co/GpQTD0vcJ5
47,2022-05-01 15:27:22+00:00,"ตู่จบเห่เดือนมิถุนายน ถ้าไปต่อไม่ได้อาจลาออก ไปทุกที่เรตติ้งตก โกยคะแนนได้แต่แก๊งแม่ยก  อยู่เฉยๆ คนยังด่า ป้อมรอส้มหล่นนายกสำรอง 

https://t.co/Gk9ypAkskJ"
48,2022-04-27 04:21:05+00:00,อยากด่าป้อม
49,2022-04-24 05:54:59+00:00,ด่าป้อมซุกเดือน ป้อมเคยปรับปรุงไหม
50,2022-04-12 10:49:55+00:00,นึกถึงมีคนด่าป้อมนั่งหลับอะ แล้วสลิ่ม ที่บ. บอก เขาแก่แล้วก็ต้องเห็ใจกันบ้าง เขาอุทิศตนมาปกครองบ้านเมือง  กูบับ https://t.co/z1b8fEAWcW
51,2022-02-20 13:54:33+00:00,แพ้อำนาจเงิน ด่าใครอะ ด่าป้อมหรอ อะหรือ หรือว่าาาาาาาา บ้า พูดได้หรอ
52,2022-02-17 12:25:53+00:00,@Mr_Bean1112 มึงด่าป้อมหรอ
53,2022-02-12 11:42:40+00:00,@MatichonOnline ด่าป้อมทำไม
54,2022-02-02 06:46:21+00:00,@pran2844 อวยตู่ ด่าป้อม นี่พันธกิจใหม่ของพวกโหนหรือครับ
55,2022-01-31 18:37:12+00:00,"ตู่ป้อมเปิดสงครามตัวแทน ลิ่วล้อตู่ด่าป้อมคนเกลียดเยอะจนแพ้หลักสี่ อวยตู่เรตติ้งดี เด็กป้อมอ้างแพ้เพราะคนใช้สิทธิน้อย ธรรมนัสเดินเกมโหดโหนทักษิณล้มตู่

https://t.co/FpHYCBTAJI"
56,2022-01-25 08:29:46+00:00,"ไอ้หมอหื่นกาม จับ หอม โอบ ไม่ด่า
ป้อมจับไหล่ยืนคุย บอกโดนคุกคาม 🤣"
57,2022-01-20 07:36:22+00:00,@rynn0915 นุด่าทอนเพราะไม่โอเคกับมูฟนี้ของเขา แบบเดียวกับที่นุด่าตู่ ด่าป้อม ด่าสลิ่ม เพราะนุไม่โอเคกับการกระทำของพ่กเขาอ่าค่า แต่ที่เห็นด่าสามกลุ่มหลังบ่อยกว่าเพราะไร เพราะกลุ่มนี้ไม่เคยทำอะไรที่เข้าท่าเลยค่า และถ้าส้มล้มแบบบ้งๆเยี่ยงนี้อีกก็จะด่าอีก สุดท้ายนี้ ยกเลิก112ค่าาาา 5555555
58,2022-01-19 15:58:40+00:00,@4everg6 จะน่าตู่ด่าป้อมอะไรก็ด่าไปเถอะ​ ขออย่างเดียอย่าแซะพรรคนั้น
