,Tweet
115,"เกลียดโซตัสเหมือนกัน โดนพูดลับหลังเหมือนกันว่าเป็นคุณหนูไม่ยอมลงมาสกปรกกับเพื่อน ถามจริงกูจะไปสกปรกกับพวกมึงทำไม
รับน้องโซตัส  ผ่าน @YouTube"
116,พ่อยอมส่งเราเรียนเอแบคซึ่งเป็นมหาลัยเอกชน ถามว่าแพงมั้ย แพงมาก เทอมละเกือบแสนอะ สองคนก็เกือบสองแสน แต่พ่อบอกว่าส่งไหว เพราะไม่อยากให้ลูกโดนโซตัส หรือรับน้องโหด คิดดูว่ามันเป็นปัญหามานานแค่ไหนพ่อแม่ถึงยอมส่งลูกไปในที่ที่มันแพงๆ อะ 
117,"ขออนุญาตคับ ปล่อยต่อนิยายวายของตัวเอง
-ขายคู่โซตัส คู่นี้180฿มีที่คั่นทั้ง2เล่ม
-เพียงนิรันด์ มือ1ตำหนิซีลแตก 100฿
-เติมรักใส่ใจ มือ1ในซีล 100฿
ค่าส่ง 1เล่ม40฿เพราะเล่มหนามากก เล่มต่อไป+10฿ สนใจสอบถามได้คับ
#นิยายวาย #นิยายวายมือสองสภาพดี #ขายนิยายวาย #ขายนิยายวายมือสอง "
118,เห็นนายอาร์มพูดถึงโซตัส มันเหมือนกันทุกมอป่ะ เหมือนมอกุด้วย 5555
119,มึงคิดดู๊ แล้วมาบอกมอเราไม่มีโซตัส แต่ต้องใส่สัญเอก+ป้ายชื่อ+กฎเจอรุ่นพี่ต้องสั่งโค้ดไหว้ เออ กุโดนเรื่องไม่ไหว้อีก เย๊อะะ
120,"#วนศาสตร์ ไม่ข้อปฏิบัติในการรับน้อง(แบบโซตัส)แล้วจ้า

ถ้าในอนาคตมีใครหรือสามาคมใดพยายามเอามันกลับมาใช้อีกจงอย่าไปยอม "
121,รับน้องโซตัส 
122,ยัง ยัง ยังไม่รู้ตัวอีก ความเชี่ยของระบบโซตัสคือ ไอ่คนที่ทำชอบคิดว่าตัวเองมีความชอบธรรมที่จะทำ และคนที่โดนโซตัส กลับอิกนอร์ยินยอมให้กดขี่ โลจิก แม่งพัง 
123,@castby9arm ฟังคลิปนายอาร์มแล้วนึกถึงความรู้เพื่อนผมเลย ผมก็เป็นคนนึงที่ร่วมกิจกรรมโซตัส แต่เพื่อนผมไม่เข้า ถึงผมจะไม่แบ่งแยกเพื่อน แต่น่าจะมีความรู้โดนกีดกันบ้างละ รู้สึกเสียดายทีหลังเหมือนกันที่ไปเข้าร่วทกิจกรรมอะไรแบบนั้น
124,@rynn0915 จิงเลยค่ะ คิดว่าถ้าตัวเองอยุ่สมัยที่การเข้าสังคมในคณะคือการต้องมานั่งแซวคนที่บันไดหน้าคณะคือตายแน่ๆ 55535255555555 /ในความโซตัสที่กำลังหายไป พวกที่เอมเคยมีปันหาด้วยตอนนู้นคือเค้าคิดว่าตัวเองแบบปลอดโซตัส เฟรนลี่กับทุกคนไรแบบนี้ แต่จิงๆคือมันจะ soft sotus มากนะ 🥹
125,"รับน้องโซตัส  ผ่าน @YouTube
"
126,โซตัส รียูเนี่ยนไปแล้ว มีคริสสิงรียูเนี่ยน ไหมคะ เจม 5555
127,แล้วพวกระบบนี้ก็จะออกมาตอบแบบเดียวกันหยั่งกะก้อปกันมาแบบนี้แหละครับ ขอโทษส่งๆทำตัวเป็นเหยื่อ แล้วโทษผู้ถูกกระทำว่าผิดเอง เยี่ยมไปเลยระบบโซตัส 
128,รับน้องโซตัส  via @YouTube
129,ขนาดคนแบบพ่อกุยังเคยโดนโซตัส ระบบนี้แม่งหัวดอ
130,เหมือนตอนแรกจะมีให้เซ็นต์อนุญาตเข้าคลาสเชียร์ด้วยป่ะนะ ละบอกไม่มีโซตัส กุก็คิดว่าแค่เข้าไปทำกิจกรรมร้องเพลงเฉยๆ เลยเข้า สรุปโดนว้ากตั้งแต่วันแรกเลยกุบาย ไม่เข้าละ 555555555
131,รับน้องโซตัส  ผ่าน @YouTube
132,"@castby9arm เป็นรุ่นพี่เอาแต่เล่นละครลิง อวยโซตัส ยกตัวเองสูง
ไม่ได้ทำตัวให้น่าเคารพ  ใครอยากก้มหน้า ก็ทำไป
แต่ไม่ใช่กูแล้วคนนึง “ไม่ใช่แม่ ไมต้องสนใจ”"
133,เข้ามหาลัยไปเรียน ไม่ได้ไปเพื่อที่จะไปกิจกรรมโซตัส
134,งงอิพวกเห็นดีเห็นงามกับโซตัส ต่อต้านรฐปหแต่โซตัสมันมีข้อดีนะ 
135,"สำหรับเรา""โซตัส""คริสสิงก็คือคริสสิงขอเก็บไว้เป็นตำนานให้คิดถึงเป็นความทรงจำที่ดี คริสสิงจะเล่นคู่กับใครจิ้นกับใครก็ขอเพียงติดตามผลงานดูการเติบโตพัฒนาการแสดงของทั้งคู่สิ่งใหนชอบก็ดูสิ่งใหนรับไม่ไหวก็ขอข้ามผ่านถามว่ารอมัยกับงานคู่ก็ยังรออย่างมีความหวังเมื่อถึงเวลาของมันคู่ก็คือคู่"
136,รับน้องโซตัส  via @YouTube
137,นั่งฟังคลิปพี่นายอาร์มพูดเรื่องโซตัส แล้วโคตรปวดใจแบบพี่เขาเก่งชหที่ผ่านมาได้อะ แล้วทำไมพี่เขาถึงจะออกมาพูดครสตัวเองตอนนั้นไม่ได้ ทำไมจะมาพูดความบิดเบี้ยวของโซตัวที่เค้าเจอไม่ได้ พอเขาออกมาพูดมาทำเป็นรับไม่ได้หาว่าเขาแขวะ โถอี
138,"โชคดีที่ไม่เคยโดนโซตัส
ต้องขอบคุณ(เพื่อน)เเม่ที่คอยส่งเสริมความคิดให้เขาลงทุนส่งลูกเรียนโรงเรียนดีๆ"
139,ดีที่พี่รุ่นที่แล้วยกเลิกระบบว้ากส้นตีนไรออกไป เขาบอกว่าไม่ชอบที่พี่ปีก่อนมันทำ บุญหัวรุ่นนี้จัดๆ แล้วก็คือหมดแล้ว จบระบบรุ่นพี่โซตัส สิ้นสุดตั้งแต่นี่ลงไป
140,รับน้องโซตัส  via @YouTube
141,แล้วอีพวกนี้ก็จะเป็นคนเดียวกับที่อยากให้ประเทศมีประชาธิปไตย แชร์โพสต์ด่ารัฐบาล แต่สนับสนุนโซตัส ไม่ย้อนแย้งในตัวเองบ้างเหรอวะ 
142,ถามจริง ใครสนุกกับโซตัส มึงบ้าปะ
143,"ใช้ชีวิตง่ายดี ทำชีวิตคนอื่นพังไปหลายปี ไม่รู้สึกผิด ดูไม่ได้รู้สึกต้องรับผิดชอบอะไร ขอโทษละกันนะ แค่นี้ จบ ปลอบใจตัวเองด้วยการบอกว่า มันเรื่อง 10 ปีที่แร้ว หนุกๆขำๆ
คนที่อยู่ในระบบโซตัส มันคิดอะไรตื้นๆดี "
144,ไม่ว๊ากไม่โซตัส แต่ละรุ่นก็สนิทกับได้จ้า
145,กุเห็นใครโซตัสไม่ได้เลย เพราะ 1.กุคือคนที่โดนโซตัส และ2.กุไม่เคยโซตัสใคร
146,"เรื่องโซตัส รับน้องนี่ ถ้าย้อนเวลากลับไปได้ ก็คงถามเพื่อนนะ เราจะยอมทำไมวะ อายุห่างแค่ปีเดียว มีสิทธิ์อะไรมาสั่งมาลงโทษเราล่ะ

ทั้งเสียเงิน เสียสุขภาพจิต เสียเวลา ไม่มีอะไรดีเลย "
147,"นี่สมัยหอชาย ม.ปลายนี่ก็มีนะ กึ่ง ๆโซตัส

ที่บอกกึ่ง ๆ เพราะว่า message ไม่ใช่ว่าต้องเคารพความไร้เหตุผลของรุ่นพี่ 
แต่เขาพยายามบิ๊วว่าเราเป็นเด็กทุน ใช้ภาษีประชาชน ต้องใช้ให้คุ้มค่าทุกบาท

แต่วิธีการเดียวกัน กดดัน ตึง กู๊ดคอปแบ๊ดคอป มีคนว๊ากคนปลอบ"
148,เรื่อง 9อาร์ม เกี่ยวกับโซตัส ที่ trauma มาเป็น 10 ปี เราก็มีอะไรคล้ายๆกัน แต่แม่งบำบัด/รักษา เวลาผ่านไปจนลืมแล้ว ถ้าไม่มีอะไรมาทริกเกอร์
149,"โซตัส = หัวฆวยตลอดไป

เอาอะไรมารักพี่รักน้อง อย่ามาอ้างว่าอยากให้น้องรักกัน ไม่ต้อมาพูดว่า อยากให้น้องรู้จักเคารพ แค่มึงว้ากใส่กู กูก็ไม่อยากแลหน้าแล้วค่า

พ่อแม่กูยังไม่ขึ้นเสียงใส่กูเลย

ไหนจะพี่เนียนอีก เอาเวลาไปเรียนไปทำกิจกรรมหัวขวดมึงเถอะ พ่อแม่กูมีตังส่ง กูอยู่ได้ ฆวย all"
150,"@sirotek @castby9arm คลิปนายอาร์ม เรื่องโซตัส อีกคลิปเมื่อ 4 ปีก่อนครับ ครับคุณศิโรตม์ // ทีมนายอาร์ม

Vlog #34 : รับน้อง SOTUS  via @YouTube"
151,เอาจริงๆกุไม่ได้อยากจะพูดอะไรแบบนี้หรอกนะ แต่ตอนที่โควิดระบาดหนักๆ มันก็พิสูจน์ให้เห็นแล้วว่า ถึงไม่มีโซตัส ไม่มีรับน้องโหด รุ่นน้องของเราก็ยังเรียนต่อไปได้ แถมเก่งกันด้วย อย่าสำคัญตัวเอง ว่าตัวเองนั้นสำคัญต่อการเติบโตของรุ่นน้อง
152,@castby9arm รุ่นพี่ระบบโซตัส ว่าเหี้่ยแล้ว รุ่นเดียวกันที่สนุบสนุนโซตัสเหี้ยยิ่งกว่า มหาลัยที่ออกหลักสูตรสนับสนุนโซตัสเหี้ยสุด ๆ สำหรับใครที่ ไม่อยากเจอ ระบบโซตัสเวลาเลือกมหาลัยให้เขาไปดูหลักสูตรว่ามีวิชาการเรียนรู้ผ่านกิจกรรมหรือไม่ ถ้ามีอย่าเลือก ข้างในมีโซตัสแน่นอน
153,กว่านี่จะมีเพื่อนที่ภาคก็ปาเข้าไปปี 3 หนีไปมีเพื่อนภาคอื่นคณะอื่นก็เพราะโซตัสนี่แหละ ทั้งๆที่แต่ก่อนชอบทำกิจกรรม แต่ไม่ทำของคณะหรือภาคเลยจ้า หนีไปทำข้างนอกหมด ทั้งหมดก็เพราะโซตัส จบ
154,ความเจ็บปวดของคนคนนึงจากระบบโซตัส และความสุขของคนที่กุมอำนาจของระบบโซตัส
155,@castby9arm เราประกาศสงครามกับโซตัส เราทำแบบนั้นกันมาตลอด เพื่อให้สิ่งเหล่านี้มันหมดไป!
156,เลือกเข้าเอกชนส่วนหนึ่งก็เพราะกลัวเข้าไปเจอระบบโซตัส แค่ระบบของโรงเรียนมัธยมที่เคยเจอก็จะอ้วกพอแล้ว 
157,รับน้องโซตัส  via @YouTube
158,"ส่วนตัวรส.ว่าระบบที่มันไม่ดี สร้างแผลใจหรืออาจจะแผลบนร่างกาย ถ้าคนดังออกมาพูดแม่งยิ่งโคตรดีอะ โลกมันควรรับรู้และระบบมันควรหายไปอะ
ส่วนตัวที่คณะเราไม่มีโซตัส รับน้องที่เป็นกิจกรรมสนุกจริงๆ ไม่ว้าก ไม่ร่วมก็มีเพื่อน ยังสนับสนุนให้โซตัสหายไปเลย มันไม่น่าคิดยากขนาดนั้นไง"
159,"ถ้ามาพูดแบบนั้นใส่ใครในตอนนี้ก็คือไม่ได้อะ ลดทอนการเคลื่อนไหว, shame, apathy,โซตัส แต่ย้อนกลับไปมันคือเรื่องปกติธรรมดาที่แม้แต่ครูบางคนก็ยังไม่โอเคกับทัศนคติของเรากับเพื่อน เวลาเรสประเด็นขึ้นมาก็เหมือนกับไม่ปล่อยวาง แต่เราแค่เอนจอยพัฒนาการของพวกแก ไม่ได้ติดค้างอะไร สนุกดี"
160,ทำนายเลยนะ อีรุ่นพี่พวกนี้คือเป็นสลิ่มรักเผด็จการ ไม่ก็ประชาธิปไตยแบบเปลือกๆ เย้วตามเค้า แต่ไม่เข้าใจในสิทธิเสรีภาพจริงๆ ไม่งั้นแม่งไม่เชิดชูระบบเหี้ยนี่หรอก ใครยังชอบระบบโซตัส ชี้หน้าไปได้เลยว่าเป็นสลิ่ม ไม่เกินจริง 
161,ฟังเรื่องที่นายอาร์มเล่าเรื่องโซตัส แล้วรู้สึกว่าคนเป็นเหยื่อเรื่องนี้เยอะมาก เมื่อคนหนึ่งต้องการเป็นที่ยอมรับ ทำไมต้องใช้วิธีลดทอนความเป็นมนุษย์ของคนอื่นลง ทุบทำลายศักดิ์ศรีความเป็นมนุษย์แหลกละเอียด    วะ มันมีวิธีอื่นป่ะมากกว่าใช้อำนาจข่มขู่ ลงโทษหมู่ สร้าง Common enemy อะ
162,เค้าคิดไม่ได้หรอ ว่าเพราะระบบนี้ทำให้ความทรงจำในวัยมหาลัยคนๆนึงมันไม่น่าจดจำ ไม่อยากพูดถึงมันเพราะอะไร นี่ก็เข้าบ้าง ไม่เข้าบาง แต่ดีเพราะคณะไม่เคร่งเรื่องโซตัส เลยไม่มีปัญหาอะไร มีปัญหาแต่ชั่วโมงกิจกรรมไม่พอ แต่ก็ไม่เข้าค่ายชดเชยได้ 
163,เคยด่าที่เจ้อเรื่องโซตัส เรื่องการเรียนการสอนห่วย แล้วก็โดนพวกรุ่นพี่สวนกลับแนวๆนี้ คือเออ รับไม่ได้เลยดิ 55555 งงเนอเ 
164,เคยคิดว่าพี่อาร์มเก่งจัง ปกติทัวร์ลงขนาดไหนพี่ก็ผ่านมาได้ตลอด พอฟังเรื่องรับน้องแล้วเข้าใจเลย เราเจอแบบพี่แกเป๊ะ โคตรเซ็ง ชีวิตมหาลัยที่หวังไว้หมดสนุก ‍ โซตัส รับรุ่น พี่รหัส งานเชียร์ ฯลฯ เลิกบังคับเถอะ ไม่ใช่ทุกคนที่ชอบกิจกรรม ช่วยเคารพสิทธิ์ของคนที่ไม่ได้อยากร่วมบ้างเหอะ
165,โซตัสwa
166,วิถีสลิ่มปะ ชื่นชมระบบโซตัส คิดว่าตัวเองทำถูกแล้ว ทั้งๆ ที่สมัยนี้เค้ายกเลิกระบบโซตัสกันหมดละ มันไม่ช่วยให้ความคิดตกผลึกอะไรได้หน่อยหรอวะ
167,"ก็ขอโทษด้วย,ขอโทษละกัน ไม่ใช่คำพูดจากคนที่คิดได้อะ.

ในมุมของคนที่เคยนิ่งเฉยและส่งต่อระบบโซตัส จริงๆเราไม่จำเป็นต้องแบกความผิดไว้บนบ่าคนเดียวทั้งหมด แต่ต้องยืดอกยอมรับและอย่าอายว่าเราก็ร่วมสร้างบาดแผลให้คนอื่นด้วย ความผิดตัวเองทำไมต้องอายที่จะขอโทษอย่างจริงใจ เจอแบบนี้ชุ่ยมากเลย "
168,ไม่มีโซตัส ไม่มีรับน้องเพราะโควิดจ้าไม่ใช่เพราะจิตสามัญสำนึกที่พวกมึงคิดได้ค่า
169,ก็งงกับคนไทยที่ไม่เอาเผด็จการแต่เห็นด้วยกับโซตัส คื่อย้อนแย้งแท้ แล้วงานรับน้องไรพวกนี้คือไม่มีประโยชน์อะไรเลย เห็นแต่beauty privillege คนหน้าตาดีหน่อย พี่ๆก็จะใจดีไม่แกล้งเยอะ ตากล้องก็รุมถ่าย ไอพวกไม่ตรงstandardก็นั่งตบมือตบยุงไป ที่งงกว่าคือโตกว่ากูแค่ปีสองปีเสร่อมาสอนอะไรก่อน
170,รับน้องโซตัส  ผ่าน @YouTube
171,"ในฐานะคนที่รับน้องแบบโซตัสมาก่อน 

ยืนยันว่า ""เราไม่ได้อะไรจากการรับน้องแบบโซตัส""เลยเว้ย

ได้รู้จักเพื่อน รักเพื่อนฝูง ได้กลุ่มเพื่อนมั้ย? ก็ไม่อ่ะ 

ด้วยสังคมคณะในตอนนั้น เราไม่เหมือนใคร และไม่มีใครอยากคุยกับเรา
 
สุดท้ายเค้าก็จะเอามึงไปคุยลับหลังอยู่ดีว่าเราเป็นคนยังไง"
172,คลิปนายอาร์มเรื่องโซตัส ประเด็นที่เค้าพูดคือถ้ามึงชอบมึงก็จัดไปค่ะ แต่มึงไม่มีสิทธิ์ไปตัดสินคนที่ไม่เข้าร่วมว่าเห็นแก่ตัว ส่วนเพื่อนรุ่นเดียวกันที่คิดแบบนี้ก็คือโง่ค่ะ ปัญหาไม่ใช่เพื่อนที่ไม่ไปรับน้อง ปัญหาอยู่ที่รุ่นพี่พวกมึงจ้า โง่ให้เค้าทำโทษไม่มีปากไม่มีเสียง สมน้ำหน้า โง่
173,โซตัส=หัวควยทุกตัว
174,รับน้องโซตัส  ตอนเล่าว่าอีเพื่อนที่เกลียดมาขอให้ช่วยติวคือแม่งโคตรรีเลท5555555 โคตรเข้าใจความรู้สึก แม่งอยากจะกระทืบหน้าตอแหลๆแม่งให้จมตีนชิบหาย ความรู้สึกแค้นโกรธแม่งสุมในอกอะ กล้าดียังไงมาขอกู
175,สงสารนายอาร์มและทุกคนที่โดนกับระบบโซตัส แม่งไม่มีใครควรเจอ ยกเว้นพวกเหี้ยนั่นนะ
176,รีล่าเรื่องโซตัส ที่สาขานี่ก็มีเรื่องโซตัสเหมือนกัน ละคือมันเรื่องเยอะ เรื่องมาก ปสด.ใดๆ นี่กับเพื่อนเกือบทั้งสาขาก็เลยไม่เอาสาขากันเกือบทั้งรุ่นเลย เอาสิ ด้อนแคร์
177,"@castby9arm ยึดหลักความตั้งใจเดิมเถอะพี่ เป็นกำลังใจให้กันดีกว่า เพราะความจริงคือมอเราโซตัสมันเกิดขึ้นจริง (ณ เวลานั้น) มันคือสิ่งที่ปฏิเสธไม่ได้ เขาก็มีสิทธิออกมาพูดฝั่งเขา เราก็แค่แชร์ประสบการณ์ฝั่งเรา 
สิ่งที่เขาพูด เขายังไม่หลุดพ้นจากความคิดโซตัส น่าสงสารเขานะพี่"
178,กลิ่นโซตัส 555555555555555
179,"นี่โชคดีที่ไม่เจอระบบโซตัส แต่อ่านข่าวพวกนี้มาตลอด ทั้งเหตุการณ์ที่ทำให้นักศึกษาต้องตาย นักศึกษาบาดเจ็บทั้งทางกายและใจ

ดูถูกเหยียดหยามลูกหลานคนอื่นหน้าด้าน ๆ อย่างไม่อายฟ้าอายดิน ข่มขู่ดูหมิ่นกันสารพัด

พอเรื่องแดงออกสาธารณะก็บีบน้ำตาบอกรู้เท่าไม่ถึงการณ์ ทุเรศ น่าขยะแขยง"
180,คนที่เป็นพวกพี่ว้าก โซตัส แม่งไม่คิดอะไรหรอก เรื่องผ่านไปแล้ว 10 ปี ตัวเองมองเป็น ‘กิจกรรมที่สนุก’ ‘มีเรื่องให้พูดกับเพื่อน (ย้อนความหลัง)’ เฮฮา ปาร์ตี้ ในขณะที่คนที่เข้าร่วมบางคนได้รับแผลเป็นในใจ ไม่อยากนึกถึง อย่างกูเนี่ย ไม่ให้ค่าอะไรกับรับน้องเลย มีอะไรให้พูดถึง เสียเวลา 
181,การที่คนๆนึงไม่ชอบกิจกรรมโซตัส ไม่ได้อยากเข้าห้องเชียร์ ไม่ได้อยากร่วมกิจกรรม มันก็เรื่องของเค้ามั้ยอ่า การที่รุ่นพี่เอาเรื่องทำโทษมาขู่คนที่เข้านั่นแหละเป็นการปลูกฝังความคิดให้เพื่อนแบนคนที่ไม่ร่วมกิจกรรม และเพื่อนๆที่แยกแยะไม่ได้ก็เช่นกัน 
182,"@castby9arm เราฟังจนจบ นายอาร์มผ่านมาได้ เก่งมากๆเลยค่ะ
โซตัส หัว ขวดจริง ทำไปทำไม?ระบบล้างสมองชัดๆ"
183,กุเหลือเชื่อเลยอิพวกอินโซตัส
184,"ไม่ชอบโซตัส ทำไปทำไม รุ่นพี่เกลียดเรามาก เหตุไปสอยดาวในมอ ที่คนเล็งไว้ ต่างไม่รับไหว้มองเหยียด หาแคไม่ เพื่อนก็ไม่ค่อยชอบ เราไม่เข้ากิจกรรมค่าเทอมพ่อจ่าย เรียนพอไปวัดวา
งานก็หาเอง ที่เกลียดจำได้อีย่าสายรหัสจบ รุ่นพี่ให้มาจ่ายค่าทองให้ ทำเพื่อออ!!! สมัยสิบกว่าปีก่อน "
185,ตอนเจอโซตัส(ที่ครึ่งๆกลางๆ)ในสาขาก็เกลียดมาก แต่ก็ทำๆไปให้มันจบๆ จนพอปิดเทอมไปช่วยค่ายอีกคณะเลยเปิดโลกว่ารับน้องมันไม่จำเป็นต้องพูดแย่ๆกดดันใส่กันเลย พูดดีๆ แนะนำกันดีๆก็ได้ เต้นสนุกๆตลกๆก็ได้ผลที่ดีแต่ก็นั่นแหละพอถึงวันมีแขกโซตัสโผล่มาแต่ไหนไม่รู้ ไม่เคยคุยกับกูด้วยซ้ำ อิห่า
186,นี่ไงไอสัสผลพวงโซตัส จนอายุปูนนั้นยังคิดไม่ได้อยู่ดี
187,คนบางคนเขาซัฟเฟอมากับโซตัส แต่อีคนที่อยู่ในโซตัสเสือกโยนความผิดว่าเปนที่แกเองป่าว เฮงซวย
188,นี่ก็เข้ารับน้อง อยู่ในระบบโซตัส เพราะตอนนั้นไม่มีความรู้เรื่องสิทธิตัวเอง และสุดท้ายก็เหลือเพื่อนจริงๆที่ติดต่อกันหลังจบ อยู่ไม่ถึง 10 คน รุ่นพี่ไม่มีประโยชน์ไม่ได้ช่วยหางาน ไม่ได้ช่วยให้จบ ไม่ได้ช่วยติว ไม่ได้ช่วยอะไรเลย แต่มันก็มีเพื่อนที่ได้จากตรงนี้ แต่พูดเลยไม่คุ้ม
189,เมื่อไหร่ระบบโซตัส แนวคิดซีเนียริตี้ จะตายโหงไปจากประเทศไทย
190,มันจะตลกมากนะ ถ้าเค้าเรียกร้องประชาธิปไตยแต่สนับสนุนโซตัส 
191,ต้นหลิวโดนบอทโซตัส
192,ทวิตนี่ไม่ใช่การโซตัส เรื่องงานล้วนๆ
193,นายอาร์มพูดเรื่องโซตัส ตอนปี 1 นี่เรางงมาก ตอนนั้นคณะที่เรียนก็ถูกบังคับเข้ายังมาเจอระบบบ้าบอ หลังน้ำตาแตกกับพี่พยาบาลไปครั้งนึงก็ได้สติมากขึ้นเลยไม่ไปอีก เวลาโดนดักหลังเลิกเรียนก็ไม่ไป เรายังมีเพื่อนนะ แต่เราไม่ได้หาเพื่อนจากระบบโซตัส จนตอนนี้ก็ยังมองไม่เห็นว่ามีประโยชน์ยังไง
194,เห็นรุ่นพี่ที่มอโพสเกี่ยวกับเรื่องไม่เห็นด้วยกับการโซตัส ทั้งๆที่ตัวเองก็เข้าร่วมเป็นว้ากเก้อ กุจะอ้วกคับ 
195,คหสต ถ้าพูดเรื่องมารยาทก็ค่อนข้างสำคัญจริงๆนะ ไม่ใช่แนวโซตัส แต่เอาเด็กมาฝึกตั้งแต่เล็กแต่น้อย มารยาท กาลเทศะก็ควรสอนอยุ่แล้วอะ ส่วนเรื่องประเมินก้ต้องรุ้ลึกกว่านี้ว่าประเมินแนวไหน
196,ระบบโซตัส ระบบอาวุโสแม่งแย่สัด อาจารย์พูดผิดหรือให้ข้อมูลอะไรไม่ถูกต้องก็ห้ามเถียงห้ามแก้ ห้ามทำอะไรเกินหน้าเกินตา คือถ้าบอกว่าระบบแพทย์มันเป็นแบบนี้มาแต่ไหนแต่ไร ทำไมถึงยอมให้มันเป็นแบบนี้เรื่อยๆวะ คือถ้าแก้ได้น่าจะล้มกันทั้งระบบ
197,คนไทยที่บอกว่าตัวเองไม่homophobic/queerphobic ไม่racist ไม่โซตัส ไม่misogynistic สรุปเปนหมดเลยจ้าฝั่งปชธปต 5555555 แล้วจะเอาไรไปด่าสลิ่ม ตัวเองเป็นเองหมดเลย
198,"แย่สุดคือ พ่อแม่และคนรอบข้างไม่เข้าใจ ตอนนั้นรู้สึกเหมือนอยู่คนละฝั่งกับครอบครัว เลยกลัวที่จะเล่าทุกอย่าง และเลือกที่จะเงียบ ไม่บอกใครว่าเจออะไรมาถึงอยู่ไม่ได้

ก็นะ สังคมนิยมโซตัส"
199,รับน้องโซตัส  via @YouTube
