,Tweet
32,"ถ้าถามเรื่องโซตัส สิ่งที่โกรธตัวเองอย่างนึงคือตอนนั้นมึงจะคิดจะกลัวอะไรนักหนาวะ ขนาดคณะเราที่ไม่ได้โซตัสอะไรเลย มันจะมีรุ่นพี่บางคนที่ทำตัวไร้สาระอะ

ตอนนั้นเราก็ยังไม่กล้าลุกขึ้นมาถามว่าพี่เป็นอะไร พ่อแม่ไม่รักเหรอ ก็แอบโกรธความหัวอ่อนของตัวเองตอนนั้น"
33,@frommetoj พี่โซตัส??
34,"แบ่งๆกันไปเทอ เจ็มมันก็รุ่งเรืองมาสักพักแล้วนะ เป็นคนบุกเบิกตลาดทำให้มันใหญ่ขึ้น ให้คนอื่นเค้ามาเก็บแต้มบ้าง เป็นไรไป

ยุคโซตัส เจ็มก็เก็บไปเยอะมากๆๆ แล้วนะ"
35,"วันนี้พิเก่งมากๆเลยนะ เก่งขึ้นมากๆตามพิมาตั้งแต่โซตัส ก็ไม่คิดเหมือนกันนะว่าตัวเองจะตามศิลปินคนไหนได้นานขนาดนี้  อาจจะไม่ได้ไปเจอบ่อยๆ แต่ก็ซัพพอร์ตพี่เสมอ ยินดีกับทุกความสำเร็จของพี่ ชีวิตที่เติบโตไปพร้อมกับพี่มันดีมากๆเลยนะ 
@kristtps 
#ยยขคพ #KristPerawat "
36,รับน้องโซตัส  ผ่าน @YouTube
37,ส่วนตัวเราเป็นสายวาย แต่ไม่ได้ดูซีรี่ย์วายใหม่ๆ แล้ว เพราะเห็นจากตามรีวิวหรือไปดูเองว่ามีฉากเรทอะไรเยอะมากขึ้น ชอบวายสมัยเมื่อก่อนมีฉากน่ารักกุ๊กกิ๊ก หวานๆ อะไรกันแบบนี้มากกว่า อย่างโซตัส ทฤษฎีจีบเธอที่เล่นกับเนื้อเรื่อง ดำเนินความรักไปเรื่อยๆ มีอุปสรรคอะไรมาขัดขวาง
38,ไม่ได้ดูวายไทยมานานมากกกกเรื่องสุดท้ายที่ดูคือโซตัส แต่กุจะดูเรื่องนี้แงๆๆๆ (ถ้าไม่ดีกุสาป)
39,แม่ หนูโดนโซตัส 
40,ซีรี่ส์วายเรื่องเดียวที่กูดู คือโซตัส ดูไม่จบด้วยอิดอก
41,@PVashira มีบทสรุปของเรื่องโซตัสด้วยเอ๊ะดูโซตัสรึยางงเราติดตามพี่สิงมาจากโซตัสเลยจ้าภาคแรกยังไม่ตัวใหญ่นะแต่ก้อหน้ารักดีชอบแววตาอะหลงเลยและยาวมาจนทุกวันนี้ภาค2ดี๊ดีหล่อโฮกแถมเปงหนุ่มน้อยที่รักมั่นคงสุดๆแต่ใส่ชุดช๊อปหล่อขึ้นอี้กโซตัส1+2มาที่เรื่องจบของซตเปง.. our skyyตอนอาทิตก้องภพ
42,"ปุ๋ยออสโมโค้ท ออสโมโค้ทพลัส ขนาด 1 กก ของแท้ 100% จาก โซตัส ครับ [YW7OJVU]

"
43,เริ่มจากเลิฟซิก โซตัส ธารไทป์ แล้วก้อมาคินน์พอร์ช
44,โควิดรอบ2ป่าววะกู
45,7 
46,ฟังเคยฟังชางซอบพูดถึงรุ่นพี่โซตัส รุ่นพี่ที่ชอบบังคับให้น้องปี1ห้อยป้าย ตะโกนสวัสดีรุ่นพี่  มันไม่เท่เลยซักนิด ทุกคนไปมหาลัยเพื่อสนุกกับสิ่งที่เรียน 555555555 
