,Tweet
30,"@Jirat_MP สิ่งที่พลาดหนักคือ ไอ้ป้อมไม่มีสิทธิรักษาการนายกแต่แรก พวกมันเออ ออกันเอง ทำไมสภายังทำตามพวกมันอันนี้ งง คนรักษาการต้องมีในรายชื่อ..จัดการฟ้องร้องใอ้ป้อม..ที่เซ็นต์อนุมัติในฐานะอะไร..??
#รักษาการนายกเถื่อน"
31,"ปกติพ่อง เงิน 1,300 ล้าน เงินมึงหรือไง ไอ้ป้อม "
32,@erich_parpart @johnwinyu ไม่ใช้ตังพวกมึงเองล่ะไอ้ป้อมแต่เสือกมาใช้ภาษีพวกกู เมื่อไรนรกจะเอาตัวฝูงมึงไปสักทีวะสัส 
33,@Unrulycat2511 ตรวจยังไง เช็คยังไง 70% ของประชากรทั้งหมด ตรวจหรือคิดเอาเอง จะสนับสนุนเรื่องที่ประกาศเป็นโรคเฝ้าระวังจะให้ไอ้ป้อมยกเลิก พรก.ฉุกเฉินอ่ะดิ ไอ้ป้อมคนรักมากเลยไอ้ป้อมโดนวางยาแล้วมึง 
34,ปกติพ่อมึงสิ ไอ้ป้อม ควย ประชาชนจะไม่มีจะแดกกันอยู่แล้ว ควย ค่าไฟก็ขึ้น ค่าเเรงเท่าเดิม ควย ไอ้ควยป้อม  
35,@DailyThailand สลิ่มชอบแบบประยุทธ์ชอบถูกชี้นิ้วสั่ง ชอบถูกตวาดแบบไอ้ป้อมทํา แล้วก็ชอบเข่าทรุด5555 รสนิยมสลิ่มนี่แม่งน่าสงสาร  ดีนะที่พวกมึงแก่ๆใกล้ตายกันแล้ว  เอาเวลาไปคิดว่าก่อนติดเตียงตายจะมีลูกหลานมาดูแลป่าว ไม่ต้องเสือกเรื่องคนรุ่นใหม่หรอกนะไอ้สลิ่มแก่ติดเตียง
36,เมื่อไหร่ไอ้ตู่ ไอ้หนู ไอ้ป้อม จะตาย หรือต้องรอคนไทยตายหมดก่อน 
37,"@jin_somroutai โธ่ กูก็นึกสปีคอิงริดเสียอีก
โธ่ ไอ้ป้อมเอย"
38,@bblueberryz ไอ้ป้อมอะชอบเต ละชอบแบรนด์นี้ มันยังบายกะราคา 55555 นี่วันเสาร์ไปดูก็เออสวยจริงๆแหละ 55
39,@shop_platoo สมองแดกหญ้า รอบหน้าเขาเอาแลนสไล เชิญทึงฝันหวานกับไอ้ป้อมไปเหอะ
40,@Skyboyz15 ไอ้ป้อมเบิกเงินไปหลายหมื่นล้านเพื่อจัดการผักตบพวกนี้ ฝากไอ้ศรีไปตบไอ้ป้อมที ไอ้สันขวาน
41,@MatichonOnline ผลงานผู้ว่าชัชชาติทั้งนั้น ไอ้ป้อมแค่โผล่ไปเข้ากล้อง สร้างภาพเก่ง
42,"@stevejark ประเทศนี้แ***เหมือนโดนสาปจะมีผู้นำเก่งๆพัฒนาประเทศให้เจริญรุ่งเรืองก็ไม่ได้
ต้องมีแบบไอ้ตู่ไอ้ป้อมนี่แหละ"
43,ดูรูปการณ์แล้วเป็นไปได้ทั้งนั้นที่ลุงตู่จะคัมแบกหรือไม่ก็ได้ ไอ้ป้อมเตรียมรับมือ
44,@z4TdoCu5LY7aMUc อย่างไอ้ป้อมใช่มั้ยคะ เหี้ยมากเลยนะคะรายนั้น หน้าด้านมานั่งแทนนายกอีก ขนาดตู่มันไปแล้ว หนีเอดส์มาเจอมะเร็งแท้ๆคนไทย สู้ๆค่ะ เศรษฐกิจก็แย่ทั้งประเทศแหละค่ะ เพราะคนโง่ไม่กี่คน
45,@masatha อ้าว ยังไงครับ ตกลงนอกกะลาเขามีกฎหมาอาฆาตอะไรของคุณอยู่รึเปล่าครับเนี่ย ขอตัวอย่างอะไรก็ตอบไม่ได้เลย ปัดโถ้(เสียงไอ้ตู่) วู้!(เสียงไอ้ป้อม) 
46,@tanawatofficial มันไม่มีหู แถมสมองไม่สั่งงานไปอีก หาแสงก่อนคนจะลืม เพราะไอ้ป้อมทำงานดีกว่า
47,ไอ้ป้อมแม่งไปขึ้นป้าย pr ตัวเองข้างถนน เรียกคนในพื้นที่ ตจว ว่าคนจน มาสมัครบัตรคนจนกับกุสิ pr วิบัติสัสๆ
48,"กลัวไอ้ป้อมได้ซีนเกินหน้าเกินตา โถๆๆๆๆๆ
นิสัยขี้อิจฉาเริ่มกำเริบ ใครจะเด่นเกินกูไม่ได้จ้า🫢 "
49,"@viewclub นั้นไอ้ป้อมคลองหลอด!
เพื่อนเราสวยน่ารัก..ห่วงจะปลิวเพื่อนช่วยบ่ทันเด้อ"
50,@Ch_praxwwahg7 5555ไอ้ป้อม
51,@SutouchPhomrak1 ไอ้ตู่ไอ้ป้อมแม่งเงียบเลยมึงแม่งเลว
52,@US998899 ด่าไอ้ป้อมไม่สนุกอ่ะ​ เหงา
53,@fierce1214 แล้วที่สำคัญ ไหนหลักฐานว่าแม้วไม่ผิดเลย ขาวใสสะอาดไม่มีมลทิลแมวเหมียว มีมั้ยล่ะมีก็เอามา แถไปแถมาเอาแต่ด่า หลักฐานไม่มี โยกไปโยกมา แต่บกพ่องโดยสุจริตคำวินิจฉัยโคตรเบียว ลืมเขียนเฉยๆ งั้นไม่ต้องไปงอแงกะไอ้ป้อมเรื่องนาฬิกา 
54,"@fierce1214 แล้วไงต่ออ่ะครับ สรุปว่าหลบหลังตุลาการที่ตั้งมาเอง มาฟอกขาวตัวเอง คอรัปชั่นเอง ไม่ยอมสู้คดีอื่นๆ ที่มีแววจะแพ้เอง หนีไปดูไบเอง เอาเงินไปเก็บไว้สวิสเอง สลิ่มผิด ?
ละเมอแล้ว เขาจะให้ติดคุกคืนเดียวและนิรโทษก็งอแง พันตำรวจห่าไร ป๊อดชิบหาย กลับมาจูบปากไอ้ป้อมก็ได้เชิญ"
55,@cockerkrub เยอะครับไอ้เหี้ยนี้​ ไอ้ป้อมน้อยกว่าเยอะ​ ไอ้นี้โง่เสือกชอบสอนทำตัวเหมือนฉลาด
56,@backpackhike ไร้ค่าชิบหายคนอย่างไอ้ป้อม
57,"@tanawatofficial @NPKj09 จำอวด
วงวารเด็กๆ
กู:123กูเกลียดไอ้ป้อม
#ปฏิรูปการศึกษา"
58,@nt0844040405 เวลาเสนอนโยบายให้พรรคการเมืองไหน แล้วมันตอบมาแบบนี้ก็ขอให้ระลึกไว้ว่ามันคือแบบเดียวกับไอ้ป้อมฆาตกร
59,@cnew888 น่าจะไปไล่ไอ้ตู่กับไอ้ป้อมโน่น มาไล่ชัชชาติทำไม ไม่แหกตาดูรึไงว่าเขาทำงานทุกวันรึไง ไม่ได้นั่งแดกภาษี งานการไม่รู้จักทำ เศรษฐกิจไม่ดีให้สวดมนต์ พวกบ้าปัญญาอ่อน
60,@sirotek @FacebookWatch กว่าจะตัดสิน พวกนี้คงหนีตายไปแล้วก่อนแล้ว รู้อยู่การเมืองไทย  ถ้าไอ้ป้อมไม่ใหญ่จริง มันคงอยู่ไม่ถึงขนาดนี้หรอก พวกที่ตัดสินก็ใต้ตีนไอ้ป้อมทั้งนั้น
61,สลิ่มจวกชัชชาติน้ำท่วมกรุงเทพ แต่จังหวัดอื่นท่วมถึงหลังคาสลิ่มตาบอด สมองดับ ลืมว่าไอ้ป้อมคือประธานยุทธศาสตร์การบริหารจัดการน้ำของประเทศ
62,@Tong2482191 แล้วทำไมปี65 ท่วมกรุงเทพไม่โทษไอ้ตู่ไอ้ป้อมบ้างอ่ะ ตรรกะสลิ่มอ่ะเนอะโทษคนอื่นยกเว้นตัวเอง
63,ไอ้ป้อม สมองหมาปัญญาควาย 
64,@Unrulycat2511 เอาจริงๆไอ้ป้อมนี่มันดูฉลาดกว่าไอ้ตู่อยู่นะ
65,@MatichonOnline สุดยอดครับท่านนายกชัชชาติ แก้ไขปัญดีเยี่ยม เป็นนายกแทนไอ้ตู่กับไอ้ป้อมเถอะ
66,"ใครอ่านเรื่องนี้แลเฝ้วไม่ร้องไห้กุให้เอาตีนเตะไอ้ป้อมเลย

"
67,@redguard1966 @nuling ถ้าชัชชาติไม่ฉลาด ไอ้ตู่กับไอ้ป้อมนี่ควายเรียกพี่. โง่จริงๆไอ้ยุวชนควายสลิ่ม
68,@TuaLax ใช้ครับ ต้องขุดโคตรเง้า ไอ้ตู่ ไอ้ป้อม ไอ้ผู้ว่าที่มาจากทรราชแต่งตั้ง ผ่านมาตั้ง8ปี ไม่เคยบริหารจัดการวางแผนระบายน้ำได้เลย ไอ้พวกระยำหมา
69,@Palmpor21 แล้วนี่ตู่นกหวีดและไอ้ป้อม พ่อเอ็งไปดูหรือยัง 
70,@TuaMaple ไม่น่าจะได้ผลกับชัชชาติครับ มันคงทำเหนื่อยเปล่าแถมจะถูกไอ้ป้อมด่าด้วย เพราะทุกคนจะย้อนกลับไปด่าไอ้ป้อมหมด ตอนนี้ถ้าไอ้ป้อมสั่งให้ทหารทุกนายทั้งประเทศมาช่วยกันวิดน้ำได้รับรองว่ามันทำไปแล้วครับ
71,"@Unrulycat2511 เพื่อ?
สองคนนี้ดีเบทกับไอ้หนู ไอ้มาร์ค ไอ้จุรินทร์ ดีกว่า
ส่วนไอ้ป้อมไอ้ตู่ ไม่พูดถึงละไม่รู้อะไรสักอย่าง
ส่วนพิธา กับอึ้งฮิ้ว ใครชอบสายไหนไปสายนั้น จะมาดีเบทหาเรื่องแซะกันทำไม ใครได้ สส เยอะเป็นเรื่องประชาชนเลือก ทำพรรคตัวเองให้ดีที่สุด"
72,@MorningNewsTV3 น้ำท่วมปี 54 โทษปู น้ำท่วมปี 65 โทษชัชชาติ 55555 แล้ว ไอ้ตู่ ไอ้ป้อม มีไว้ทำไม
73,น้ำท่วมแมร่งไม่ใช่แค่กรุงเทพนะ กูเหนเรียกกันแต่ ชช มรึงไม่คิดเรียกไอ้ตู่ไอ้ป้อม หรือ ผว.จังหวัดอื่นบ้างหรอ หรือไง พวกนั้นแมร่งดูไร้ปัญญาใช่ป่ะ #น้ําท่วมกรุงเทพ
74,@MatichonOnline ไอ้หนูกับไอ้จุลินนี่ ใครไม่เกินหน้าใครในเรื่องตอแหล มิน่าถึงอยู่กะไอ้ตู่ไอ้ป้อมไอ้ป๊อกได้ #ทำเนียบรวมคนชั่วข้าสารเลว
75,"น้ำท่วม ตจว = โทษชัชชาติ
ท่วม กทม = โทษชัชชาติ
แล้วมึงไม่คิดจะโทษรัฐบาลหรือนายก หรือไอ้ป้อมที่รักษาการณ์แทนเลยหรอ #ชัชชาติ"
76,@political_drama มี ไอ้ป้อมทำไม ?
77,@ingdinZ เลือกคนที่ดีกว่า พวกไอ้ป้อม ไอ้ประยุด ไง   ต่อๆไป ก็เลือกก้าวไกล เลือก เพื่อไทย ไม่เลือกพวกปรสิตไง
78,@patchiys08 จะตามพี่มาแล้ว ทำใจยากหน่อยนะ ที่ต้องเปชี่ยนตัวเลขหน้า ไอ้ป้อมโตเป็นผู้ใหญ่แล้ววว
79,@Skyboyz15 เออวะ ไอ้ป้อมนอนเกาพุงสบายเลย ตจว ท่วมมิดหลังคาไม่มีคนสนใจ รอบนอกมันอำนาจใครละ แต่ละคนมุ่งแต่จะแซะชัชชาติ
80,@jugudlian @LeVyFruNGFrInG @Hawaii200x ไอ้ป้อมมันแบ่งเขตแปลกๆ   
81,กรุงเทพปีนี้อ่วมจริง คำถามวันไหนไม่เห็น อ.ชัชชาติ ลงพื้นที่บ้าง? วันไหนเห็นรัฐบาลลงพื้นที่บ้าง เห็นหน้าไอ้ป้อมหรือยัง? แต่ก็ดี ลงพื้นที่แม่งก็สร้างภาพ เป็นภาระ
82,@Slim_io มีแต่ผลงานไอ้ตู่ 5555 ไอ้ป้อมรักษาการทำห่าไรบ้างอะ ชัชชาติลงพื้นที่ น้ำเยอะขนาดนี้ยังไงก็ท่วม 
83,นี่ต้องทำงานร่วมกันเลยต้องเงียบบ้าง แต่มีแซะไอ้ตู่ไอ้ป้อมแกล้งมันเหมือนกัน มันก็เงียบ อินี่ป้าบุญ ทำบุญ ภาพลักษณ์ใจบุญสุนทาน แต่ปากเสีย คำพูดคำจาดูดีแต่แอบแรง มันไหว้...อิพุทอิสระ นี่ไม่เรียกว่าพระนะ
84,@MatichonOnline ไหนไอ้ป้อมคุยโม้ว่าปีนี้น้ำไม่ท่วมเหมือนปี 54 ไง ยังไม่มีผลงานอะไรก็คุยโม้ซะแล้ว ไอ้ทหารแก่ขี้โม้
85,@shutup2557 @SolitaryBoyz ถ้าไอ้ป้อมไม่สั่งมึงจะออกมาไหม
86,ปากมันก็ประกาศออกไมค์ ว่าเราคนไทยด้วยกัน อย่าทำร้ายกันเลย แต่พอสลายชุมนุมแล้วมีคนเจ็บมันยังไม่ช่วยเขาเหมือนที่มันประกาศออกไมค์ แล้วจะให้มวลชน เห็นว่าพวกมึงเป็นคนได้ไง เพราะงี้และเขาถึงมองพวกมึงเป็นหมา ไอ้ตู่ไอ้ป้อมตายเมื่อไร อยากให้เช็คบิลตำรวจที่มาสลายม็อบทุกคนที่อยู่ในกทม #หมา 
87,@ingdinZ ปชชมีหน้าที่ตรวจสอบนักการเมืองก็รู้หนิ ก็นี่ถามว่าเงินหลายแสนล้านที่ไอ้ป้อมใช้เรื่องน้ำหายไปไหนหมด แล้วที่เธอทำไม่ใช่หน้าที่ปชช.ที่ดี เพราะเธอปล่อยเฟคนิวส์จ่ะป้า ส่วนผลงาน #ชัชชาติ เข้ามา3เดือนก็แก้ได้หลายอย่าง งานซ่อมจุกจิกได้ traffy fondue แก้ไปเยอะ สิ่งนี้ไม่เคยเกิดสมัยอัศวิน
88,@ingdinZ ตอบมาเยอะๆเลย จะช่วยปั่น เผื่อเป็นกระแส เพราะหลายคนไม่รู้ว่าไอ้ป้อมได้งบบริหารน้ำต่อปีหลายแสาล้าน คราวนี้กระแสจะได้กระจายมากๆ เผื่อสื่อเอาไปตั้งคำถาม
89,@ingdinZ แล้วถ้าความจำมึงดีกว่านี้หน่อย ไอ้ป้อมเป็นฝ่ายเริ่มโทรหาชัชชาติก่อน โทรหลายรอบด้วย อยากมีซีนมาก ทั้งที่หน้าที่รัฐบาลต้องทำอยู่แล้วไม่จำเป็นต้องโทรหาชัชชาติเลย สลิ่มสะเหล่อ
90,@ingdinZ ก็ไอ้ป้อมกุมงบบริหารจัดการน้ำแดกหมดไปหลายแสนล้านตั้งแต่เข้ามา แล้วแก้อะไรได้วะ ล่าสุดยังจะเอางบจัดการน้ำปี66เพิ่มอีก กะจะแดกงบอย่างเดียวแล้วลอยตัวเหนือปัญหาหรอสวะสลิ่ม แต่ก่อนสมัยอีปูน้ำท่วมด่าแต่นายกไม่ด่าผู้ว่า มาตอนนี้ด่าแต่ #ชัชชาติ รัฐบาลลอยตัวแดกสบาย #น้ําท่วม 
91,@Ten_Nattawut หลุดจากร่างไปเลยก็ดีนะสัส ชวนไอ้ป้อมคู่ขามึงไปด้วยเลย 
92,ท่านชัชชาติก็ยังดีกว่าไอ้ตู่กับไอ้ป้อมเเละวะ คนเป็นผู้นำต้องร่วมลำบากไปกับลูกน้อง ถึงจะเป็นผู้นำที่เเท้จริง ผู้นำต้องถ่อมตัว คนถึงจะรัก ท่านอาจหยุดนำท่วมไม่ได้ เเต่ท่านสามารถเข็นรถทุกคันในกรุงเทพได้ 
93,@sirotek พ่อเขา สนิดกับไอ้ป้อมนะ หนู  คงเพิ่งรู้
94,@Unrulycat2511 เอาจริงๆนะไอ้ป้อมมันก็ยังดีกว่าไอ้ตูไอ้ป้อมมันยังฟังคนบ้างไอ้ตู่แม่งไม่ฟังเหี้ยอะไรเลย
95,@yumiko_baeda @rx93_mk_lll ไอ้ตู่...กับไอ้ป้อม...มันใช้เงิน 1300 ล้าน จิ้มเลือกพวกสว.สวะ250 ตัว แบบพวกมึงเข้ามา
96,@GiJOE2538 แล้วที่มันท่วมที่จังหวัดอื่นๆอะ ไอ้ตู่กับไอ้ป้อมก็ไม่เห็นมีปัญญาทำอะไรเลย แค่จะเดินเองก็ยังไม่มีปัญญาเลย
97,#ชัชชาติ ลงพื้นที่ไปดูความเดือดร้อนยันดึกยันดื่น ล่าสุดลงไปช่วย ปชช เข็นรถแล้ว แล้วสลิ่มบ่นคุวยไร สุขุมพังพ่อมึงนอน 2 ทุ่ม ไอ้สัสตู่บอกช่วยกันเข็นชาติพังๆ ให้แม่งนั่ง อิจฉาเขามาก ใจเสาะไม่กล้ากัดลิ้นตายมึงก็ไปเข็นวีลแชร์เอาไอ้ป้อมขึ้นเมรุแล้วเผาพร้อมกันไปเลย 
98,@sokenlive5 @PravitR ไอ้ป้อมนี่ไม่เคยหลับเลยจริงดิ? เอาจริงดิ? แหม่ๆๆๆๆๆๆ หนาจริงๆ
99,"ลีน่าจังมันแมว 109 ชีวิตค่ะ ศาล ไอ้ตู่ ไอ้ป้อม และฝ่ายทหารความมั่นคง ยังจมนางไม่ลง แล้วทำไมเขาต้องแคร์ติ่งอย่างพวกหล่อนที่ไม่ได้หาให้แดกด้วยล่ะคะ อย่าออกนอกหน้ามาก หน้าแหกกันหมดแล้ว ไม่ต้องคิดแทน นสด. หรอกนะคะ 
ถ้าเขาอึดอัดจริง ถ้าเกิดไม่เป็นไบ้ เขาก็ออกมาพูดเองค่ะ #แบนลีน่าจัง"
100,@tigeryellowlive มึงดูยังไงหลับมันหลับตรงไหนว่ะ ไอ้ป้อมอ่ะหลับของจริงสร้างแต่ปลอมไอ ค
101,"นางแบกว่าไงกับข่าวนี้บ้างวะ?

ก้าวไกลถ้าเกี๋ยเซี๊ยะชอเป็นรัฐบาลด้วยการอ้อนไอ้ป้อมอย่างนี้กูด่าทั้งพรรคนะบอกเลย

มา...รอดูนางแบกกัน "
102,@brbrbree ไปดูเวลาที่สอสอมึงพูดในสภาด้วย ตอนของบให้โครงการหลวง ปิดป้ายชื่อกุนึกว่าพรรคไอ้ป้อม หน้าด้าน
103,การจะเปลี่ยนอุดมการณ์มันไม่ได้เปลี่ยนจากแค่คำพูดหรือคำขอโทษ..มันดูที่การกระทำด้วย ดูอย่างพี่สุกัญญา มิเกล ลูกนัท คนเหล่านี้เค้าเปลี่ยนด้วยการกระทำทั้งนั้น เพราะถ้ามาแค่คำพูดหรือคำขอโทษ ใครๆก้อพูดได้ ไอ้ตู่ ไอ้ป้อม ไอ้สุเทพมันก้อพูดได้ขอโทษได้
